season,date,home,score,away,replay_str,replay,replay_two
8,"November 21, 2019",Bubble’s Ice Penguins,30 - 14,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=5bbbd5dd17fb37b45859e31f8e1ec012,
8,"November 21, 2019",Flip Gear,24 - 0,Incheon Butterflies,Replay,https://thehax.pl/forum/powtorki.php?nagranie=5e5b8400d2b0f2ffdd05bfed888352ca,
8,"November 21, 2019",New Jersey Philly Specials,0 - 7,Mexico City Aztecs,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b270d81598ef8acd4012c41162470be5,
8,"November 21, 2019",Atlanta Dirty Birds,10 - 35,Chicago Lions,Replay,https://thehax.pl/forum/powtorki.php?nagranie=decc2a7fd91b8150f3e8c2fbe5544d56,
8,"November 21, 2019",Philly Goblins,16 - 24,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=5a787144ddea9a18a95528ec0ae5b451,
8,"November 21, 2019",Loonaverse,20 - 26,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=55457f6b76ff5a0a130c0735ecdfaead,
8,"November 24, 2019",Bubble’s Ice Penguins,34 - 21,Mexico City Aztecs,Replay,https://thehax.pl/forum/powtorki.php?nagranie=4391926640daa582fbce35afe51297f2,
8,"November 24, 2019",New Jersey Philly Specials,10 - 17,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=9ae6c5d31dec5312e0e916fc348c0f71,
8,"November 24, 2019",Loona Orbits,33 - 10,Incheon Butterflies,Replay,https://thehax.pl/forum/powtorki.php?nagranie=3a84d06d8ede623d679cd7730e6bc540,
8,"November 24, 2019",Loonaverse,45 - 20,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6d19b518c53d3d96e351e63249b1f93e,
8,"November 24, 2019",Philly Goblins,24 - 17,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=525e5a05871fc389c0c616de2e6ce031,
8,"November 24, 2019",Panama Pandemic,14 - 28,Chicago Lions,Replay,https://thehax.pl/forum/powtorki.php?nagranie=4d45730c0746dcf92dba694ae7f850e6,
8,"November 28, 2019",Mexico City Aztecs,28 - 27,Incheon Butterflies,Replay,https://thehax.pl/forum/powtorki.php?nagranie=1b6e548478af5ce9c816329e23c3c6fa,
8,"November 28, 2019",New Jersey Philly Specials,24 - 21,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=c2fcbb4534aaef548f9647baeb396ad6,
8,"November 28, 2019",Flip Gear,24 - 14,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=1a7dcb2abbd75afba7d727ad2ac02fca,
8,"November 28, 2019",Loonaverse,24 - 14,Philly Goblins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=5f1e7236c345d2fe19c7cac542fb5eb1,
8,"November 28, 2019",Flip Squad,2 - 0 [F],Chicago Lions,Replay,,
